id,Question,Answer,Category,General Category,Type
0,Explain why alkanes are generally unreactive.,"Alkanes lack electron-rich sites to attract electrophiles and electron-deficient sites to attract nucleophiles. Additionally, their strong C-C and C-H bonds require a significant amount of energy to break.",Alkane Reactivity,Reactivity,Explain
1,Explain why saturated hydrocarbons are relatively inert.,Saturated hydrocarbons have strong sigma bonds and no functional groups to readily participate in chemical reactions. The lack of polarity in C-H bonds also reduces reactivity.,Alkane Reactivity,Reactivity,Explain
2,Discuss the chemical inertness of straight-chain alkanes.,"Straight-chain alkanes exhibit low reactivity due to the absence of polar bonds and the stability of their C-H and C-C bonds, which require significant energy to break.",Alkane Reactivity,Reactivity,Discuss
3,Analyze why methane and ethane are resistant to chemical reactions.,"Methane and ethane resist reactions because they lack functional groups and their bonds are non-polar, making them less susceptible to attack by electrophiles or nucleophiles.",Alkane Reactivity,Reactivity,Analyze
4,Why do simple hydrocarbons with only single bonds exhibit low reactivity?,The strong sigma bonds in simple hydrocarbons and the absence of electron-donating or electron-withdrawing groups lead to their low chemical reactivity.,Alkane Reactivity,Reactivity,Why
5,Compare the stability of the methyl radical (CH3·) and the tert-butyl radical ((CH3)3C·).,"The tert-butyl radical ((CH3)3C·) is more stable due to the electron-donating effects of the three alkyl groups, which stabilize the electron-deficient radical center more effectively than in the methyl radical.",Alkyl Radical Stability,Stability,Compare
6,Why is the tertiary butyl radical more stable than the primary methyl radical?,"The tertiary butyl radical has three electron-donating alkyl groups, which reduce the electron deficiency at the radical site, enhancing stability.",Alkyl Radical Stability,Stability,Why
7,Compare the electron distribution in CH3· and (CH3)3C·.,"In (CH3)3C·, the radical is stabilized by hyperconjugation and inductive effects from the surrounding alkyl groups, unlike in CH3·.",Alkyl Radical Stability,Stability,Compare
8,Discuss the effect of alkyl substitution on radical stability between methyl and tert-butyl radicals.,"Alkyl substitution increases radical stability as seen in tert-butyl radicals, where the electron-donating groups alleviate the electron deficiency of the radical center.",Alkyl Radical Stability,Stability,Discuss
9,Explain the role of hyperconjugation in stabilizing the tert-butyl radical compared to the methyl radical.,"Hyperconjugation allows the delocalization of electron density from adjacent C-H bonds in the tert-butyl radical, enhancing its stability compared to the methyl radical.",Alkyl Radical Stability,Stability,Explain
10,Compare the stability of the benzyl radical (C6H5CH2·) and the ethyl radical (CH3CH2·).,"The benzyl radical (C6H5CH2·) is more stable because the p orbital of the radical carbon overlaps with the π-electron cloud of the benzene ring, allowing delocalization of the unpaired electron, unlike the ethyl radical.",Benzyl Radical Stability,Stability,Compare
11,Why is the benzyl radical more stabilized than an aliphatic radical?,"The benzyl radical gains stability through resonance delocalization of the unpaired electron across the aromatic ring, unlike aliphatic radicals.",Benzyl Radical Stability,Stability,Why
12,Compare the resonance effects in C6H5CH2· and CH3CH2·.,"C6H5CH2· benefits from resonance stabilization due to the conjugated π-system of the benzene ring, which is absent in CH3CH2·.",Benzyl Radical Stability,Stability,Compare
13,Explain why aromatic radicals are generally more stable than alkyl radicals.,"Aromatic radicals like the benzyl radical can delocalize the unpaired electron through the π-electron system, whereas alkyl radicals lack such stabilization.",Benzyl Radical Stability,Stability,Explain
14,Discuss the role of conjugation in stabilizing the benzyl radical compared to the ethyl radical.,Conjugation between the radical center and the benzene ring in the benzyl radical provides additional stability not found in ethyl radicals.,Benzyl Radical Stability,Stability,Discuss
15,"Explain why 2-chloropropane is formed as the major product, whereas 1-chloropropane is the minor product, during the chlorination of propane.","In the first step, a secondary carbocation (CH3CHClCH3) is formed, which is more stable than a primary carbocation (CH2ClCH2CH3) due to the dispersal of the positive charge by two alkyl groups. This makes the formation of 2-chloropropane more favorable.",Propane Chlorination,Stability,Explain
16,Why does propane predominantly form 2-chloropropane during chlorination?,The formation of 2-chloropropane is favored because the intermediate secondary radical is more stable than a primary radical.,Propane Chlorination,Stability,Why
17,Explain the regioselectivity in the chlorination of propane.,Regioselectivity arises because the secondary carbon radical formed during chlorination is more stable than the primary radical.,Propane Chlorination,Stability,Explain
18,Discuss why 2-chloropropane is the main product of propane halogenation.,Halogenation of propane yields more 2-chloropropane due to the stability of the secondary radical intermediate compared to the primary radical.,Propane Chlorination,Stability,Discuss
19,Analyze the preference for secondary chlorination in propane over primary chlorination.,Secondary chlorination is preferred due to the greater stability of secondary radicals formed during the reaction.,Propane Chlorination,Stability,Analyze
20,"When but-2-ene reacts with HBr, why does the product not rotate plane-polarized light?","The reaction forms a planar carbocation intermediate. The Br⁻ nucleophile can attack this intermediate from either side with equal probability, resulting in a racemic mixture of enantiomers that does not rotate plane-polarized light.",But-2-ene HBr Addition,Isomers,Why
21,Why does HBr addition to but-2-ene produce a racemic mixture?,"The planar carbocation intermediate allows Br⁻ to attack from either side, leading to equal amounts of enantiomers and no optical activity.",But-2-ene HBr Addition,Isomers,Why
22,Discuss the optical inactivity of products from the reaction of HBr with cis-but-2-ene.,"The optical inactivity is due to the formation of a racemic mixture, as the carbocation intermediate is attacked equally from both sides.",But-2-ene HBr Addition,Isomers,Discuss
